video_id,source,label,path,media_type,split,cache_path
0341,penn,bench_press,/content/Penn_Action/frames/0341,frames_dir,test,/content/frame_cache/0341.npy
0342,penn,bench_press,/content/Penn_Action/frames/0342,frames_dir,val,/content/frame_cache/0342.npy
0343,penn,bench_press,/content/Penn_Action/frames/0343,frames_dir,train,/content/frame_cache/0343.npy
0344,penn,bench_press,/content/Penn_Action/frames/0344,frames_dir,train,/content/frame_cache/0344.npy
0345,penn,bench_press,/content/Penn_Action/frames/0345,frames_dir,train,/content/frame_cache/0345.npy
0346,penn,bench_press,/content/Penn_Action/frames/0346,frames_dir,val,/content/frame_cache/0346.npy
0347,penn,bench_press,/content/Penn_Action/frames/0347,frames_dir,test,/content/frame_cache/0347.npy
0348,penn,bench_press,/content/Penn_Action/frames/0348,frames_dir,train,/content/frame_cache/0348.npy
0349,penn,bench_press,/content/Penn_Action/frames/0349,frames_dir,train,/content/frame_cache/0349.npy
0350,penn,bench_press,/content/Penn_Action/frames/0350,frames_dir,train,/content/frame_cache/0350.npy
0351,penn,bench_press,/content/Penn_Action/frames/0351,frames_dir,train,/content/frame_cache/0351.npy
0352,penn,bench_press,/content/Penn_Action/frames/0352,frames_dir,val,/content/frame_cache/0352.npy
0353,penn,bench_press,/content/Penn_Action/frames/0353,frames_dir,train,/content/frame_cache/0353.npy
0354,penn,bench_press,/content/Penn_Action/frames/0354,frames_dir,test,/content/frame_cache/0354.npy
0355,penn,bench_press,/content/Penn_Action/frames/0355,frames_dir,train,/content/frame_cache/0355.npy
0356,penn,bench_press,/content/Penn_Action/frames/0356,frames_dir,test,/content/frame_cache/0356.npy
0357,penn,bench_press,/content/Penn_Action/frames/0357,frames_dir,train,/content/frame_cache/0357.npy
0358,penn,bench_press,/content/Penn_Action/frames/0358,frames_dir,val,/content/frame_cache/0358.npy
0359,penn,bench_press,/content/Penn_Action/frames/0359,frames_dir,train,/content/frame_cache/0359.npy
0360,penn,bench_press,/content/Penn_Action/frames/0360,frames_dir,val,/content/frame_cache/0360.npy
0361,penn,bench_press,/content/Penn_Action/frames/0361,frames_dir,test,/content/frame_cache/0361.npy
0362,penn,bench_press,/content/Penn_Action/frames/0362,frames_dir,train,/content/frame_cache/0362.npy
0363,penn,bench_press,/content/Penn_Action/frames/0363,frames_dir,train,/content/frame_cache/0363.npy
